AY_ID,EXAM_ID,SUB_ID,ADMNO,MARKS_OBTAINED
2022-2023,FINAL,CA,2605,87.5
2022-2023,FINAL,CA,2606,67.5
2022-2023,FINAL,CA,2607,71
2022-2023,FINAL,CA,2608,0
2022-2023,FINAL,CA,2609,75.5
2022-2023,FINAL,CA,2610,59.5
2022-2023,FINAL,CA,2611,85
2022-2023,FINAL,CA,2612,76.5
2022-2023,FINAL,CA,2613,80.5
2022-2023,FINAL,CA,2614,61
2022-2023,FINAL,CA,2615,89
2022-2023,FINAL,CA,2616,79
2022-2023,FINAL,CA,2617,81
2022-2023,FINAL,CA,2618,77
2022-2023,FINAL,CA,2619,98
2022-2023,FINAL,CA,2620,60.5
2022-2023,FINAL,CA,2621,80
2022-2023,FINAL,CA,2622,96
2022-2023,FINAL,CA,2623,89
2022-2023,FINAL,CA,2624,89.5
2022-2023,FINAL,CA,2625,92
2022-2023,FINAL,CA,2626,64
2022-2023,FINAL,CA,2627,79
2022-2023,FINAL,CA,2628,61
2022-2023,FINAL,CA,2629,72.2
2022-2023,FINAL,CA,2630,70
2022-2023,FINAL,CA,2631,87.5
2022-2023,FINAL,CA,2632,79
2022-2023,FINAL,CA,2634,84
2022-2023,FINAL,CA,2635,76.5
2022-2023,FINAL,CA,2636,84.5
2022-2023,FINAL,CA,2637,80
2022-2023,FINAL,CA,2638,85
2022-2023,FINAL,CA,2640,92.5
2022-2023,FINAL,CA,2641,85
2022-2023,FINAL,CA,2642,66
2022-2023,FINAL,CA,2643,70
2022-2023,FINAL,CA,2644,99
2022-2023,FINAL,CA,2645,90
2022-2023,FINAL,CA,2646,72.5
2022-2023,FINAL,CA,2647,69.5
2022-2023,FINAL,CA,2648,87
2022-2023,FINAL,CA,2650,75
2022-2023,FINAL,CA,2651,77
2022-2023,FINAL,CA,2652,58
2022-2023,FINAL,CA,2653,86
2022-2023,FINAL,CA,2654,81.5
2022-2023,FINAL,CA,2655,68.5
2022-2023,FINAL,CA,2657,81
2022-2023,FINAL,CA,2658,64
2022-2023,FINAL,CA,2659,89.5
2022-2023,FINAL,CA,2660,64
2022-2023,FINAL,CA,2661,90
2022-2023,FINAL,CA,2662,83
2022-2023,FINAL,CA,2663,92
2022-2023,FINAL,CA,2665,96
2022-2023,FINAL,CA,2666,61
2022-2023,FINAL,CA,2667,81
2022-2023,FINAL,CA,2668,66
2022-2023,FINAL,CA,2670,87
2022-2023,FINAL,CA,2671,0
2022-2023,FINAL,CA,2672,83.5
2022-2023,FINAL,CA,2673,72
2022-2023,FINAL,CA,2674,97
2022-2023,FINAL,CA,2675,83
2022-2023,FINAL,CA,2676,78
2022-2023,FINAL,CA,2677,59
2022-2023,FINAL,CA,2678,71
2022-2023,FINAL,CA,2679,75
2022-2023,FINAL,CA,2681,83
2022-2023,FINAL,CA,2684,77
2022-2023,FINAL,CA,2685,88
2022-2023,FINAL,CA,2686,0
2022-2023,FINAL,CA,2687,67.5
2022-2023,FINAL,CA,2689,71.5
2022-2023,FINAL,CA,2690,71.5
2022-2023,FINAL,CA,2691,82
2022-2023,FINAL,CA,2692,63
2022-2023,FINAL,CA,2693,55
2022-2023,FINAL,CA,2694,64
2022-2023,FINAL,CA,2695,98.5
2022-2023,FINAL,CA,2696,80.5
2022-2023,FINAL,CA,2697,93
2022-2023,FINAL,CA,2698,71
2022-2023,FINAL,CA,2699,71.2
2022-2023,FINAL,CA,2700,81
2022-2023,FINAL,CA,2701,67
2022-2023,FINAL,CA,2702,95
2022-2023,FINAL,CA,2704,55.5
2022-2023,FINAL,CA,2705,55
2022-2023,FINAL,CA,2706,88
2022-2023,FINAL,CA,2710,98
2022-2023,FINAL,CA,2711,63
2022-2023,FINAL,CA,2712,76
2022-2023,FINAL,CA,2713,79.5
2022-2023,FINAL,CA,2714,94.5
2022-2023,FINAL,CA,2715,91.5
2022-2023,FINAL,CA,2716,57
2022-2023,FINAL,CA,2717,53
2022-2023,FINAL,CA,2718,87
2022-2023,FINAL,CA,2719,93.5
2022-2023,FINAL,CA,2720,70
2022-2023,FINAL,CA,2721,93.5
2022-2023,FINAL,CA,2722,88.5
2022-2023,FINAL,CA,2723,64
2022-2023,FINAL,CA,2724,74
2022-2023,FINAL,CA,2725,51
2022-2023,FINAL,CA,2726,50
2022-2023,FINAL,CA,2727,75
2022-2023,FINAL,CA,2728,81
2022-2023,FINAL,CA,2729,75
2022-2023,FINAL,CA,2730,74.5
2022-2023,FINAL,CA,2732,78.5
2022-2023,FINAL,CA,2733,85.5
2022-2023,FINAL,CA,2734,85.5
2022-2023,FINAL,CA,2735,73
2022-2023,FINAL,CA,2736,56
2022-2023,FINAL,CA,2738,92
2022-2023,FINAL,CA,2740,88
2022-2023,FINAL,CA,2741,0
2022-2023,FINAL,CA,2743,70
2022-2023,FINAL,CA,2744,60
2022-2023,FINAL,CA,2745,78.5
2022-2023,FINAL,CA,2746,65.5
2022-2023,FINAL,CA,2747,82
2022-2023,FINAL,CA,2748,78
2022-2023,FINAL,CA,2750,85
2022-2023,FINAL,CA,2751,71
2022-2023,FINAL,CA,2752,63
2022-2023,FINAL,CA,2754,77
2022-2023,FINAL,CA,2755,70
2022-2023,FINAL,CA,2756,47
2022-2023,FINAL,CA,2757,71
2022-2023,FINAL,CA,2758,70
2022-2023,FINAL,CA,2759,65
2022-2023,FINAL,CA,2760,68
2022-2023,FINAL,CA,2761,66
2022-2023,FINAL,CA,2762,0
2022-2023,FINAL,CA,2763,65
2022-2023,FINAL,CA,2764,77
2022-2023,FINAL,CA,2765,98
2022-2023,FINAL,CA,2767,57.5
2022-2023,FINAL,CA,2770,89
2022-2023,FINAL,CA,2771,27
2022-2023,FINAL,CA,2773,82
2022-2023,FINAL,CA,2777,29.5
2022-2023,FINAL,CA,2778,79
2022-2023,FINAL,CA,2783,84
2022-2023,FINAL,CA,2787,47
2022-2023,FINAL,CA,2788,71
2022-2023,FINAL,CA,2802,75
2022-2023,FINAL,CA,2806,56
2022-2023,FINAL,CA,2807,78
2022-2023,FINAL,CA,2808,93
2022-2023,FINAL,CA,2809,98
2022-2023,FINAL,CA,2810,94
2022-2023,FINAL,CA,2811,72
2022-2023,FINAL,CA,2812,85
2022-2023,FINAL,CA,2813,96
2022-2023,FINAL,CA,2814,89
2022-2023,FINAL,CA,2815,75
2022-2023,FINAL,CA,2816,77
2022-2023,FINAL,CA,2817,79
2022-2023,FINAL,CA,2818,75
2022-2023,FINAL,CA,2819,89
2022-2023,FINAL,CA,2820,67
2022-2023,FINAL,CA,2821,53
2022-2023,FINAL,CA,2822,0
2022-2023,FINAL,CA,2823,91
2022-2023,FINAL,CA,2824,85.5
2022-2023,FINAL,CA,2826,83
2022-2023,FINAL,CA,2827,59
2022-2023,FINAL,CA,2828,77.5
2022-2023,FINAL,CA,2830,99
2022-2023,FINAL,CA,2831,77
2022-2023,FINAL,CA,2832,58
2022-2023,FINAL,CA,2833,94
2022-2023,FINAL,CA,2834,95.5
2022-2023,FINAL,CA,2835,82
2022-2023,FINAL,CA,2836,74.5
2022-2023,FINAL,CA,2837,78
2022-2023,FINAL,CA,2838,93
2022-2023,FINAL,CA,2841,82.5
2022-2023,FINAL,CA,2842,75
2022-2023,FINAL,CA,2843,89.5
2022-2023,FINAL,CA,2845,79
2022-2023,FINAL,CA,2846,75
2022-2023,FINAL,CA,2847,70.5
2022-2023,FINAL,CA,2848,93
2022-2023,FINAL,CA,2849,54
2022-2023,FINAL,CA,2850,78
2022-2023,FINAL,CA,2851,95.5
2022-2023,FINAL,CA,2852,98
2022-2023,FINAL,CA,2853,0
2022-2023,FINAL,CA,2855,90.5
2022-2023,FINAL,CA,2856,82.5
2022-2023,FINAL,CA,2857,96
2022-2023,FINAL,CA,2859,89
2022-2023,FINAL,CA,2861,90.5
2022-2023,FINAL,CA,2863,79
2022-2023,FINAL,CA,2864,71.5
2022-2023,FINAL,CA,2867,78
2022-2023,FINAL,CA,2868,87.5
2022-2023,FINAL,CA,2869,84
2022-2023,FINAL,CA,2870,78.5
2022-2023,FINAL,CA,2872,78
2022-2023,FINAL,CA,2873,83
2022-2023,FINAL,CA,2875,71.5
2022-2023,FINAL,CA,2876,67
2022-2023,FINAL,CA,2877,66
2022-2023,FINAL,CA,2878,92
2022-2023,FINAL,CA,2879,54.5
2022-2023,FINAL,CA,2880,83
2022-2023,FINAL,CA,2881,83
2022-2023,FINAL,CA,2882,80
2022-2023,FINAL,CA,2883,76
2022-2023,FINAL,CA,2885,92
2022-2023,FINAL,CA,2886,81
2022-2023,FINAL,CA,2887,91.5
2022-2023,FINAL,CA,2888,80
2022-2023,FINAL,CA,2889,0
2022-2023,FINAL,CA,2891,87
2022-2023,FINAL,CA,2892,91.5
2022-2023,FINAL,CA,2893,95
2022-2023,FINAL,CA,2894,85
2022-2023,FINAL,CA,2895,89
2022-2023,FINAL,CA,2896,90.5
2022-2023,FINAL,CA,2898,87
2022-2023,FINAL,CA,2899,91
2022-2023,FINAL,CA,2900,78
2022-2023,FINAL,CA,2902,95
2022-2023,FINAL,CA,2903,91.5
2022-2023,FINAL,CA,2904,90
2022-2023,FINAL,CA,2905,89
2022-2023,FINAL,CA,2906,88
2022-2023,FINAL,CA,2907,85.5
2022-2023,FINAL,CA,2908,54
2022-2023,FINAL,CA,2909,92
2022-2023,FINAL,CA,2910,90
2022-2023,FINAL,CA,2911,55
2022-2023,FINAL,CA,2912,76.5
2022-2023,FINAL,CA,2913,80
2022-2023,FINAL,CA,2914,85
2022-2023,FINAL,CA,2915,86
2022-2023,FINAL,CA,2917,94.5
2022-2023,FINAL,CA,2918,90
2022-2023,FINAL,CA,2919,76
2022-2023,FINAL,CA,2920,89.5
2022-2023,FINAL,CA,2921,91
